Sample,Organ,Histo,Bulk_phenotype,Site,Original_ID,Project_ID
PD53943n_lo0038,ADRENAL PD53943n B1-C2-S4-5,Foetal zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0039,ADRENAL PD53943n B1-C2-S4-5,Foetal zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0040,ADRENAL PD53943n B1-C2-S4-5,Foetal zone,Adrenal,Right,adrenal right,3581
PD53943t_lo00026,PANCREAS PD53943t B1-C2-S2-3,Glandular structure,Pancreas,Pancreas,pancreas,3506
PD53943t_lo00027,PANCREAS PD53943t B1-C2-S2-3,Glandular structure,Pancreas,Pancreas,pancreas,3506
PD53943t_lo00032,PANCREAS PD53943t B1-C2-S2-3,Glandular structure,Pancreas,Pancreas,pancreas,3506
PD53943t_lo00034,PANCREAS PD53943t B1-C2-S2-3,Glandular structure,Pancreas,Pancreas,pancreas,3506
PD53943t_lo00036,PANCREAS PD53943t B1-C2-S2-3,Glandular structure,Pancreas,Pancreas,pancreas,3506
PD53943t_lo00037,PANCREAS PD53943t B1-C2-S2-3,Glandular structure,Pancreas,Pancreas,pancreas,3506
PD53943t_lo00038,PANCREAS PD53943t B1-C2-S2-3,Glandular structure,Pancreas,Pancreas,pancreas,3506
PD53943ag_lo0020,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0021,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0022,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0023,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0024,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0025,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0026,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0027,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0028,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0029,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0030,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0031,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0032,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0033,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0034,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943ag_lo0035,LIVER PD53943ag B1_C2_S2,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,3506
PD53943u_lo0006,Left_Gonad PD53943u B1-C2-S2-3,Gonadal parenchyma,Gonad,Left,gonad left,3506
PD53943u_lo0007,Left_Gonad PD53943u B1-C2-S2-3,Gonadal parenchyma,Gonad,Left,gonad left,3506
PD53943u_lo0008,Left_Gonad PD53943u B1-C2-S2-3,Gonadal parenchyma,Gonad,Left,gonad left,3506
PD53943u_lo0009,Left_Gonad PD53943u B1-C2-S2-3,Gonadal parenchyma,Gonad,Left,gonad left,3506
PD53943u_lo0010,Left_Gonad PD53943u B1-C2-S2-3,Gonadal parenchyma,Gonad,Left,gonad left,3506
PD53943u_lo0011,Left_Gonad PD53943u B1-C2-S2-3,Gonadal parenchyma,Gonad,Left,gonad left,3506
PD53943ah_lo0029,Distal_Bowel PD53943ah_B1-C2-S2-3,Crypt,Intestine,Distal,F148 distal intestine,3506
PD53943ah_lo0031,Distal_Bowel PD53943ah_B1-C2-S2-3,Crypt,Intestine,Distal,F148 distal intestine,3506
PD53943x_lo0018,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0019,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0022,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0023,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0024,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0025,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0026,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0028,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0030,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0031,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0032,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0033,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0034,ADRENAL PD53943x B1-C2-S2-3,Foetal zone,Adrenal,Left,adrenal left,3581
PD53943x_lo0015,Adrenal,Foetal zone,Adrenal,Left,adrenal left,3137
PD53943x_lo0013,Adrenal,Foetal zone,Adrenal,Left,adrenal left,3137
PD53943x_lo0014,Adrenal,Foetal zone,Adrenal,Left,adrenal left,3137
PD53943x_lo0003,Left_adrenal,Foetal zone,Adrenal,Left,adrenal left,2855
PD53943x_lo0011,Adrenal,Foetal zone,Adrenal,Left,adrenal left,3137
PD53943x_lo0012,Adrenal,Foetal zone,Adrenal,Left,adrenal left,3137
PD53943x_lo0011,Left_adrenal,Foetal zone,Adrenal,Left,adrenal left,3137
PD53943x_lo0012,Left_adrenal,Foetal zone,Adrenal,Left,adrenal left,3137
PD53943x_lo0013,Left_adrenal,Foetal zone,Adrenal,Left,adrenal left,3137
PD53943x_lo0014,Left_adrenal,Foetal zone,Adrenal,Left,adrenal left,3137
PD53943x_lo0015,Left_adrenal,Foetal zone,Adrenal,Left,adrenal left,3137
PD53943n_lo0005,Right_adrenal,Definitive zone,Adrenal,Right,adrenal right,2855
PD53943n_lo0002,Right_adrenal,Definitive zone,Adrenal,Right,adrenal right,2855
PD53943x_lo0001,Left_adrenal,Definitive zone,Adrenal,Left,adrenal left,2855
PD53943x_lo0007,Left_adrenal,Definitive zone,Adrenal,Left,adrenal left,2855
PD53943n_lo0020,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0021,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0022,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0023,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0024,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0025,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
PD53943n_lo0026,ADRENAL PD53943n B1-C2-S4-5,Definitive zone,Adrenal,Right,adrenal right,3581
