Sample,Organ,Histo,Bulk_phenotype,Site,Original_ID,Project_ID
PD53943ag_lo0017,LIVER PD53943ag_B1-C2-S2,Hepatocyte,Liver,Anterior (face),F147 anterior liver face,3137
PD53943ag_lo0018,LIVER PD53943ag_B1-C2-S2,Hepatocyte,Liver,Anterior (face),F147 anterior liver face,3137
PD53943ag_lo0016,LIVER PD53943ag_B1-C2-S2,Hepatocyte,Liver,Anterior (face),F147 anterior liver face,3137
PD53943ag_lo0004,Liver,Hepatocyte,Liver,Anterior (face),F147 anterior liver face,2855
PD53943ag_lo0005,Liver,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,2855
PD53943ag_lo0019,LIVER PD53943ag_B1-C2-S2,Hepatocyte,Liver,Anterior (face),F147 anterior liver face,3137
PD53943ag_lo0015,LIVER PD53943ag_B1-C2-S2,Hepatocyte,Liver,Anterior (face),F147 anterior liver face,3137
PD53943ag_lo0007,Liver,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,2855
PD53943ag_lo0008,Liver,Haematopoietic cell enriched,Liver,Anterior (face),F147 anterior liver face,2855
PD53943ah_lo0004,Distal_Bowel,Crypt,Intestine,Distal,F148 distal intestine,2855
PD53943ah_lo0005,Distal_Bowel,Crypt,Intestine,Distal,F148 distal intestine,2855
PD53943ah_lo0018,Bowel,Muscularis propria ,Intestine,Distal,F148 distal intestine,3137
PD53943ah_lo0019,Bowel,Muscularis propria ,Intestine,Distal,F148 distal intestine,3137
PD53943ah_lo0009,Distal_Bowel,Muscularis propria,Intestine,Distal,F148 distal intestine,2855
PD53943ah_lo0001,Distal_Bowel,Crypt,Intestine,Distal,F148 distal intestine,2855
PD53943ah_lo0020,Bowel,Muscularis propria ,Intestine,Distal,F148 distal intestine,3137
PD53943ah_lo0021,Bowel,Muscularis propria ,Intestine,Distal,F148 distal intestine,3137
PD53943ah_lo0017,Bowel,Muscularis propria ,Intestine,Distal,F148 distal intestine,3137
PD53943ai_lo0001,Proximal_Bowel,Crypt,Intestine,Proximal,F148 proximal intestine,2855
PD53943ai_lo0003,Proximal_Bowel,Crypt,Intestine,Proximal,F148 proximal intestine,2855
PD53943ai_lo0005,Proximal_Bowel,Crypt,Intestine,Proximal,F148 proximal intestine,2855
PD53943ai_lo0007,Proximal_Bowel,Crypt,Intestine,Proximal,F148 proximal intestine,2855
PD53943ai_lo0004,Proximal_Bowel,Crypt,Intestine,Proximal,F148 proximal intestine,2855
PD53943ai_lo0008,Proximal_Bowel,Crypt,Intestine,Proximal,F148 proximal intestine,2855
PD53943aj_lo0001,Bladder,Urothelium,Bladder,Bladder,Bladder,2855
PD53943aj_lo0003,Bladder,Urothelium,Bladder,Bladder,Bladder,2855
PD53943i_lo0021,THYRD PD53943i B1-C2-S2-3,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0060,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0043,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0022,THYRD PD53943i B1-C2-S2-3,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0061,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0020,THYRD PD53943i B1-C2-S2-3,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0038,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0044,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0024,THYRD PD53943i B1-C2-S2-3,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0025,THYRD PD53943i B1-C2-S2-3,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0026,THYRD PD53943i B1-C2-S2-3,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0036,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0049,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0050,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0037,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0006,Left_thyroid,Thyroid follicle,Thyroid,Left,thyroid left,2855
PD53943b_lo0014,Brain,Ventricular zone,Brain,Left,Brain,2855
PD53943b_lo0012,Brain,Subventricular zone,Brain,Left,Brain,2855
PD53943b_lo0013,Brain,Ventricular zone,Brain,Left,Brain,2855
PD53943b_lo0009,Brain,Cortical plate,Brain,Left,Brain,2855
PD53943b_lo0010,Brain,Cortical plate,Brain,Left,Brain,2855
PD53943b_lo0011,Brain,Subventricular zone,Brain,Left,Brain,2855
PD53943b_lo0025,Brain,Cortical plate,Brain,Left,Brain,2855
PD53943b_lo0026,Brain,Cortical plate,Brain,Left,Brain,2855
PD53943b_lo0027,Brain,Ventricular zone,Brain,Left,Brain,2855
PD53943b_lo0015,Brain,Subventricular zone,Brain,Left,Brain,2855
PD53943b_lo0029,Brain,Subventricular zone,Brain,Left,Brain,2855
PD53943b_lo0030,Brain,Subventricular zone,Brain,Left,Brain,2855
PD53943b_lo0033,Brain,Cortical plate,Brain,Left,Brain,2855
PD53943b_lo0034,Brain,Cortical plate,Brain,Left,Brain,2855
PD53943b_lo0007,Brain,Ventricular zone,Brain,Left,Brain,2855
PD53943b_lo0008,Brain,Ventricular zone,Brain,Left,Brain,2855
PD53943b_lo0038,Brain,Germinal Matrix,Brain,Left,Brain,2855
PD53943b_lo0039,Brain,Caudate nucleus,Brain,Left,Brain,2855
PD53943b_lo0041,Brain,Germinal Matrix,Brain,Left,Brain,2855
PD53943b_lo0043,Brain,Germinal Matrix,Brain,Left,Brain,2855
PD53943b_lo0044,Brain,Choroid plexus,Brain,Left,Brain,2855
PD53943b_lo0046,Brain,Germinal Matrix,Brain,Left,Brain,2855
PD53943b_lo0001,Brain,Cortical plate,Brain,Left,Brain,2855
PD53943b_lo0002,Brain,Ventricular zone,Brain,Left,Brain,2855
PD53943b_lo0003,Brain,Ventricular zone,Brain,Left,Brain,2855
PD53943b_lo0004,Brain,Cortical plate,Brain,Left,Brain,2855
PD53943b_lo0005,Brain,Subventricular zone,Brain,Left,Brain,2855
PD53943b_lo0006,Brain,Subventricular zone,Brain,Left,Brain,2855
PD53943b_lo0053,Brain,Cerebellar hemisphere,Brain,Left,Brain,2855
PD53943b_lo0057,Brain,Choroid plexus,Brain,Right,Brain,2855
PD53943b_lo0141,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0142,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0143,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0144,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0147,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0148,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0149,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0016,Brain,Subventricular zone,Brain,Left,Brain,2855
PD53943b_lo0017,Brain,Cortical plate,Brain,Left,Brain,2855
PD53943b_lo0018,Brain,Cortical plate,Brain,Left,Brain,2855
PD53943b_lo0019,Brain,Cortical plate,Brain,Left,Brain,2855
PD53943b_lo0020,Brain,Cortical plate,Brain,Left,Brain,2855
PD53943b_lo0021,Brain,Ventricular zone,Brain,Left,Brain,2855
PD53943b_lo0022,Brain,Ventricular zone,Brain,Left,Brain,2855
PD53943b_lo0023,Brain,Subventricular zone,Brain,Left,Brain,2855
PD53943b_lo0159,Brain,Caudate nucleus,Brain,Right,Brain,3186
PD53943b_lo0160,Brain,Caudate nucleus,Brain,Right,Brain,3186
PD53943b_lo0161,Brain,Caudate nucleus,Brain,Right,Brain,3186
PD53943b_lo0162,Brain,Caudate nucleus,Brain,Right,Brain,3186
PD53943b_lo0028,Brain,Ventricular zone,Brain,Left,Brain,2855
PD53943b_lo0164,Brain,Caudate nucleus,Brain,Right,Brain,3186
PD53943b_lo0165,Brain,Caudate nucleus,Brain,Right,Brain,3186
PD53943b_lo0166,Brain,Caudate nucleus,Brain,Right,Brain,3186
PD53943b_lo0089,Brain,Subventricular zone,Brain,Right,Brain,2855
PD53943b_lo0035,Brain,Subventricular zone,Brain,Left,Brain,2855
PD53943b_lo0037,Brain,Germinal Matrix,Brain,Left,Brain,2855
PD53943b_lo0167,Brain,Caudate nucleus,Brain,Right,Brain,3137
PD53943b_lo0168,Brain,Caudate nucleus,Brain,Right,Brain,3137
PD53943b_lo0169,Brain,Caudate nucleus,Brain,Right,Brain,3137
PD53943b_lo0171,Brain,Caudate nucleus,Brain,Right,Brain,3137
PD53943b_lo0172,Brain,Caudate nucleus,Brain,Right,Brain,3137
PD53943b_lo0173,Brain,Caudate nucleus,Brain,Right,Brain,3137
PD53943b_lo0047,Brain,Germinal Matrix,Brain,Left,Brain,2855
PD53943b_lo0048,Brain,Cerebellar hemisphere,Brain,Left,Brain,2855
PD53943b_lo0049,Brain,Cerebellar hemisphere,Brain,Left,Brain,2855
PD53943b_lo0050,Brain,Cerebellar hemisphere,Brain,Left,Brain,2855
PD53943b_lo0051,Brain,Cerebellar hemisphere,Brain,Left,Brain,2855
PD53943b_lo0052,Brain,Cerebellar hemisphere,Brain,Left,Brain,2855
PD53943b_lo0155,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0156,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0157,Brain,Caudate nucleus,Brain,Right,Brain,3186
PD53943b_lo0059,Brain,Subventricular zone,Brain,Right,Brain,2855
PD53943b_lo0060,Brain,Cortical plate,Brain,Right,Brain,2855
PD53943b_lo0061,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0062,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0063,Brain,Subventricular zone,Brain,Right,Brain,2855
PD53943b_lo0064,Brain,Cortical plate,Brain,Right,Brain,2855
PD53943b_lo0150,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0151,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0152,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0153,Brain,Choroid plexus,Brain,Right,Brain,3186
PD53943b_lo0069,Brain,Subventricular zone,Brain,Right,Brain,2855
PD53943b_lo0090,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0091,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0158,Brain,Caudate nucleus,Brain,Right,Brain,3186
PD53943b_lo0075,Brain,Caudate nucleus,Brain,Right,Brain,2855
PD53943b_lo0024,Brain,Subventricular zone,Brain,Left,Brain,2855
PD53943b_lo0081,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0082,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0163,Brain,Caudate nucleus,Brain,Right,Brain,3186
PD53943b_lo0085,Brain,Cortical plate,Brain,Right,Brain,2855
PD53943b_lo0086,Brain,Subventricular zone,Brain,Right,Brain,2855
PD53943b_lo0087,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0088,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0093,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0070,Brain,Cortical plate,Brain,Right,Brain,2855
PD53943b_lo0071,Brain,Germinal Matrix,Brain,Right,Brain,2855
PD53943b_lo0092,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0174,Brain,Caudate nucleus,Brain,Right,Brain,3137
PD53943b_lo0095,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0079,Brain,Cortical plate,Brain,Right,Brain,2855
PD53943b_lo0066,Brain,Subventricular zone,Brain,Right,Brain,2855
PD53943b_lo0067,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0083,Brain,Ventricular zone,Brain,Right,Brain,2855
PD53943b_lo0065,Brain,Cortical plate,Brain,Right,Brain,2855
PD53943b_lo0072,Brain,Germinal matrix,Brain,Right,Brain,2855
PD53943b_lo0073,Brain,Germinal Matrix,Brain,Right,Brain,2855
PD53943y_lo0038,PLACNT PD53943Y B1-C2-S2,Trophoblasts,Trophoblasts,Top right,placenta top right,3254
PD53943y_lo0037,PLACNT PD53943Y B1-C2-S2,Trophoblasts,Trophoblasts,Top right,placenta top right,3254
PD53943y_lo0036,PLACNT PD53943Y B1-C2-S2,Trophoblasts,Trophoblasts,Top right,placenta top right,3254
PD53943y_lo0035,PLACNT PD53943Y B1-C2-S2,Trophoblasts,Trophoblasts,Top right,placenta top right,3254
PD53943y_lo0034,PLACNT PD53943Y B1-C2-S2,Trophoblasts,Trophoblasts,Top right,placenta top right,3254
PD53943y_lo0030,PLACNT PD53943Y B1-C2-S2,Trophoblasts,Trophoblasts,Top right,placenta top right,3254
PD53943y_lo0028,PLACNT PD53943Y B1-C2-S2,Trophoblasts,Trophoblasts,Top right,placenta top right,3254
PD53943y_lo0025,PLACNT PD53943Y B1-C2-S2,Trophoblasts,Trophoblasts,Top right,placenta top right,3254
PD53943y_lo0014,PLACNT PD53943Y B1-C2-S2,Mesenchymal core,Placenta,Top right,placenta top right,3254
PD53943y_lo0012,PLACNT PD53943Y B1-C2-S2,Mesenchymal core,Placenta,Top right,placenta top right,3254
PD53943y_lo0008,Placenta,Mesenchymal core,Placenta,Top right,placenta top right,2855
PD53943y_lo0007,Placenta,Mesenchymal core,Placenta,Top right,placenta top right,2855
PD53943y_lo0006,Placenta,Mesenchymal core,Placenta,Top right,placenta top right,2855
PD53943y_lo0005,Placenta,Trophoblasts,Trophoblasts,Top right,placenta top right,2855
PD53943y_lo0003,Placenta,Trophoblasts,Trophoblasts,Top right,placenta top right,2855
PD53943e_lo0081,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0080,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0078,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0077,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0076,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0075,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0073,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0071,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0068,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0067,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0066,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0065,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0062,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0061,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0059,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0057,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0056,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0054,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0053,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0052,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0051,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0050,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0049,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0047,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0046,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0045,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0044,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0043,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0042,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0041,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0040,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0039,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0038,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0037,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0036,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943e_lo0035,PLACNT PD53943E B1-C2-S2,Trophoblasts,Trophoblasts,Bottom right,Trophoblasts,3254
PD53943i_lo0039,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0040,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0041,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0042,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0053,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0030,THYRD PD53943i B1-C2-S2-3,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0045,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0046,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0048,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0035,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0059,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0051,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0062,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0019,THYRD PD53943i B1-C2-S2-3,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0064,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0032,THYRD PD53943i B1-C2-S2-3,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0052,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0034,THYRD PD53943i B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0058,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0033,THYRD PD53943i B1-C2-S2-3,Thyroid follicle,Thyroid,Left,thyroid left,3137
PD53943i_lo0056,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0063,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0065,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0010,Left_thyroid,Thyroid follicle,Thyroid,Left,thyroid left,2855
PD53943i_lo0057,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943i_lo0054,Thyroid PD53943I B1-C2-S4-5,Thyroid follicle,Thyroid,Left,thyroid left,3254
PD53943l_lo0018,Right_thyroid,Thyroid follicle,Thyroid,Right,thyroid right,2855
PD53943l_lo0031,THYRD PD53943L B1-C2-S4-5,Thyroid follicle,Thyroid,Right,thyroid right,3137
PD53943l_lo0019,Right_thyroid,Thyroid follicle,Thyroid,Right,thyroid right,2855
PD53943h_lo0030,Thymus PD53943h B1-C2-S2-3,Medulla,Thymus,Thymus,thymus,3137
PD53943h_lo0026,Thymus PD53943h B1-C2-S2-3,Medulla,Thymus,Thymus,thymus,3137
PD53943h_lo0024,Thymus PD53943h B1-C2-S2-3,Medulla,Thymus,Thymus,thymus,3137
PD53943h_lo0016,Thymus,Medulla,Thymus,Thymus,thymus,3186
PD53943h_lo0043,Thymus PD53943h B1-C2-S2-3,Cortex,Thymus,Thymus,thymus,3137
PD53943h_lo0031,Thymus PD53943h B1-C2-S2-3,Medulla,Thymus,Thymus,thymus,3137
PD53943h_lo0025,Thymus PD53943h B1-C2-S2-3,Medulla,Thymus,Thymus,thymus,3137
PD53943h_lo0023,Thymus PD53943h B1-C2-S2-3,Medulla,Thymus,Thymus,thymus,3137
PD53943h_lo0036,Thymus PD53943h B1-C2-S2-3,Cortex,Thymus,Thymus,thymus,3137
PD53943h_lo0021,Thymus PD53943h B1-C2-S2-3,Medulla,Thymus,Thymus,thymus,3137
PD53943h_lo0022,Thymus PD53943h B1-C2-S2-3,Medulla,Thymus,Thymus,thymus,3137
PD53943h_lo0028,Thymus PD53943h B1-C2-S2-3,Medulla,Thymus,Thymus,thymus,3137
PD53943h_lo0029,Thymus PD53943h B1-C2-S2-3,Medulla,Thymus,Thymus,thymus,3137
PD53943h_lo0013,Thymus,Cortex,Thymus,Thymus,thymus,3186
PD53943h_lo0044,Thymus PD53943h B1-C2-S2-3,Cortex,Thymus,Thymus,thymus,3137
PD53943h_lo0032,Thymus PD53943h B1-C2-S2-3,Medulla,Thymus,Thymus,thymus,3137
PD53943h_lo0004,Thymus,Medulla,Thymus,Thymus,thymus,2855
PD53943h_lo0012,Thymus,Cortex,Thymus,Thymus,thymus,3186
PD53943h_lo0033,Thymus PD53943h B1-C2-S2-3,Cortex,Thymus,Thymus,thymus,3137
PD53943h_lo0034,Thymus PD53943h B1-C2-S2-3,Cortex,Thymus,Thymus,thymus,3137
PD53943h_lo0035,Thymus PD53943h B1-C2-S2-3,Cortex,Thymus,Thymus,thymus,3137
PD53943h_lo0039,Thymus PD53943h B1-C2-S2-3,Cortex,Thymus,Thymus,thymus,3137
PD53943h_lo0037,Thymus PD53943h B1-C2-S2-3,Cortex,Thymus,Thymus,thymus,3137
PD53943h_lo0027,Thymus PD53943h B1-C2-S2-3,Medulla,Thymus,Thymus,thymus,3137
PD53943h_lo0042,Thymus PD53943h B1-C2-S2-3,Cortex,Thymus,Thymus,thymus,3137
PD53943h_lo0038,Thymus PD53943h B1-C2-S2-3,Cortex,Thymus,Thymus,thymus,3137
PD53943s_lo0040,STOMACH PD53943s_B1-C2-S2-3,Epithelium,Stomach,Stomach,stomach,3137
PD53943s_lo0029,STOMACH PD53943s_B1-C2-S2-3,Muscularis propria ,Stomach,Stomach,stomach,3137
PD53943s_lo0027,STOMACH PD53943s_B1-C2-S2-3,Muscularis propria ,Stomach,Stomach,stomach,3137
PD53943s_lo0034,STOMACH PD53943s_B1-C2-S2-3,Muscularis propria ,Stomach,Stomach,stomach,3137
PD53943s_lo0033,STOMACH PD53943s_B1-C2-S2-3,Muscularis propria ,Stomach,Stomach,stomach,3137
PD53943s_lo0028,STOMACH PD53943s_B1-C2-S2-3,Muscularis propria ,Stomach,Stomach,stomach,3137
PD53943s_lo0026,STOMACH PD53943s_B1-C2-S2-3,Muscularis propria ,Stomach,Stomach,stomach,3137
PD53943s_lo0035,STOMACH PD53943s_B1-C2-S2-3,Epithelium,Stomach,Stomach,stomach,3137
PD53943s_lo0038,STOMACH PD53943s_B1-C2-S2-3,Epithelium,Stomach,Stomach,stomach,3137
PD53943s_lo0032,STOMACH PD53943s_B1-C2-S2-3,Muscularis propria ,Stomach,Stomach,stomach,3137
PD53943s_lo0037,STOMACH PD53943s_B1-C2-S2-3,Epithelium,Stomach,Stomach,stomach,3137
PD53943s_lo0036,STOMACH PD53943s_B1-C2-S2-3,Epithelium,Stomach,Stomach,stomach,3137
PD53943s_lo0001,Stomach,Epithelium,Stomach,Stomach,stomach,2855
PD53943s_lo0039,STOMACH PD53943s_B1-C2-S2-3,Epithelium,Stomach,Stomach,stomach,3137
PD53943f_lo0017,Spinal_column,Skeletal muscle,Spinal column + ribcage,Spinal column + ribcage,Spinal column + ribcage,2855
PD53943f_lo0015,Spinal_column,Skeletal muscle,Spinal column + ribcage,Spinal column + ribcage,Spinal column + ribcage,2855
PD53943f_lo0011,Spinal_column,Cartilage,Spinal column + ribcage,Spinal column + ribcage,Spinal column + ribcage,2855
PD53943f_lo0013,Spinal_column,Cartilage,Spinal column + ribcage,Spinal column + ribcage,Spinal column + ribcage,2855
PD53943f_lo0005,Spinal_column,Grey matter,Spinal column + ribcage,Spinal column + ribcage,Spinal column + ribcage,2855
PD53943f_lo0003,Spinal_column,Grey matter,Spinal column + ribcage,Spinal column + ribcage,Spinal column + ribcage,2855
PD53943f_lo0004,Spinal_column,Grey matter,Spinal column + ribcage,Spinal column + ribcage,Spinal column + ribcage,2855
PD53943f_lo0001,Spinal_column,Grey matter,Spinal column + ribcage,Spinal column + ribcage,Spinal column + ribcage,2855
PD53943an_lo0005,SKIN PD53943an_B1-C2-S2-3,Epidermis,Skin,Head right,skin brain right,3152
PD53943an_lo0002,Skin_brain_right,Epidermis,Skin,Head right,skin brain right,2855
PD53943an_lo0004,Skin_brain_right,Epidermis,Skin,Head right,skin brain right,2855
PD53943an_lo0006,SKIN PD53943an_B1-C2-S2-3,Epidermis,Skin,Head right,skin brain right,3152
PD53943an_lo0001,Skin_brain_right,Epidermis,Skin,Head right,skin brain right,2855
PD53943ao_lo0010,SKIN PD53943ao_B1-C2-S4-5,Epidermis,Skin,Lower back left,skin lower back left,3152
PD53943j_lo0005,Left_arm,Skeletal muscle,Arm,Left,arm left,2855
PD53943j_lo0006,Left_arm,Skeletal muscle,Arm,Left,arm left,2855
